annotation,SYMBOL
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
plasma membrane,IGKV3D-20
plasma membrane,IGKV3D-20
plasma membrane,IGKV3D-20
plasma membrane,IGKV3D-20
plasma membrane,IGKV3D-20
plasma membrane,IGKV3D-20
plasma membrane,IGKV3D-20
plasma membrane,IGKV3D-20
plasma membrane,IGKV3D-20
plasma membrane,IGKV3D-20
extracellular region,IGKV6D-41
plasma membrane,IGKV6D-41
T cell receptor complex,TRGV8
T cell receptor complex,TRGV4
extracellular region,IGHV1-3
plasma membrane,IGHV1-3
immunoglobulin complex,IGHV1-3
extracellular region,IGHV3-16
plasma membrane,IGHV3-16
immunoglobulin complex,IGHV3-16
extracellular region,IGHV1-18
plasma membrane,IGHV1-18
immunoglobulin complex,IGHV1-18
extracellular region,IGHV3-20
plasma membrane,IGHV3-20
immunoglobulin complex,IGHV3-20
extracellular region,IGHV1-24
plasma membrane,IGHV1-24
immunoglobulin complex,IGHV1-24
extracellular region,IGHV4-28
plasma membrane,IGHV4-28
immunoglobulin complex,IGHV4-28
extracellular region,IGHV3-35
plasma membrane,IGHV3-35
immunoglobulin complex,IGHV3-35
extracellular region,IGHV3-38
plasma membrane,IGHV3-38
immunoglobulin complex,IGHV3-38
extracellular region,IGHV5-51
plasma membrane,IGHV5-51
immunoglobulin complex,IGHV5-51
extracellular region,IGHV1-58
plasma membrane,IGHV1-58
immunoglobulin complex,IGHV1-58
extracellular region,IGHV4-61
plasma membrane,IGHV4-61
immunoglobulin complex,IGHV4-61
extracellular region,IGHV3-66
plasma membrane,IGHV3-66
immunoglobulin complex,IGHV3-66
extracellular region,IGHV2-70D
plasma membrane,IGHV2-70D
immunoglobulin complex,IGHV2-70D
extracellular region,IGKV3D-7
plasma membrane,IGKV3D-7
T cell receptor complex,TRBV5-4
extracellular region,IGHJ1
plasma membrane,IGHJ1
immunoglobulin complex,IGHJ1
extracellular region,IGKV1-8
plasma membrane,IGKV1-8
extracellular region,IGKV2-24
plasma membrane,IGKV2-24
extracellular region,IGKV1-9
plasma membrane,IGKV1-9
extracellular region,IGKV1-6
plasma membrane,IGKV1-6
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
extracellular region,IGKV1-12
plasma membrane,IGKV1-12
plasma membrane,IGKV1-12
plasma membrane,IGKV1-12
plasma membrane,IGKV1-12
plasma membrane,IGKV1-12
plasma membrane,IGKV1-12
plasma membrane,IGKV1-12
plasma membrane,IGKV1-12
plasma membrane,IGKV1-12
plasma membrane,IGKV1-12
extracellular region,IGKV3OR2-268
extracellular space,MT-RNR1
nucleus,MT-RNR1
mitochondrion,MT-RNR1
membrane,CCDC163
extracellular region,IGHV1-69-2
plasma membrane,IGHV1-69-2
immunoglobulin complex,IGHV1-69-2
membrane,KIR2DL5B
extracellular region,A0A0G2JRQ6
extracellular region,IGLV5-39
plasma membrane,IGLV5-39
extracellular region,IGHV7-4-1
plasma membrane,IGHV7-4-1
immunoglobulin complex,IGHV7-4-1
extracellular region,A0A0J9YW62
plasma membrane,A0A0J9YW62
immunoglobulin complex,A0A0J9YW62
T cell receptor complex,TRBJ1-3
extracellular region,A0A0J9YWU9
plasma membrane,A0A0J9YWU9
immunoglobulin complex,A0A0J9YWU9
T cell receptor complex,TRBJ1-6
T cell receptor complex,TRBJ1-2
extracellular region,IGHV3-64D
plasma membrane,IGHV3-64D
immunoglobulin complex,IGHV3-64D
T cell receptor complex,TRBV6-9
T cell receptor complex,TRBJ1-1
T cell receptor complex,TRBJ1-4
T cell receptor complex,TRBJ1-5
extracellular region,IGHV5-10-1
plasma membrane,IGHV5-10-1
immunoglobulin complex,IGHV5-10-1
T cell receptor complex,TRBV6-2
extracellular region,A0A0J9YY99
plasma membrane,A0A0J9YY99
immunoglobulin complex,A0A0J9YY99
T cell receptor complex,TRBV10-1
T cell receptor complex,TRBV6-5
T cell receptor complex,TRBV30
T cell receptor complex,TRBV11-1
T cell receptor complex,TRBV27
T cell receptor complex,TRBV6-1
T cell receptor complex,TRBV7-7
T cell receptor complex,TRBV10-3
T cell receptor complex,TRBV10-2
extracellular region,CD300H
extracellular region,CD300H
mitochondrion,GLYATL1B
nucleus,KLF18
membrane,TMEM275
membrane,ZNF593OS
P-body,NBDY
mitochondrial outer membrane,MISFA
intermediate filament,LOC100653049
cytosol,LOC100996750
keratin filament,LOC100996750
cytosol,KRTAP9-7
keratin filament,KRTAP9-7
endoplasmic reticulum,TUNAR
endoplasmic reticulum,TUNAR
endoplasmic reticulum membrane,TUNAR
sperm flagellum,SPMIP11
nucleus,CSNK2A2IP
membrane,TMEM272
extracellular region,FAM237A
membrane,A0A1B0GTQ1
plasma membrane,MYMX
extracellular region,EDDM13
nucleus,HSFX4
membrane,CTXND1
membrane,CIROP
membrane,TEX50
membrane,SMIM28
membrane,SMIM32
membrane,TEX51
membrane,SPEM3
membrane,SMIM27
endoplasmic reticulum lumen,MARCOL
membrane,LOC128125818
cis-Golgi network,GOLGA6L7
membrane,CTXND2
extracellular region,FAM237B
extracellular region,PRSS51
plasma membrane,TCAF2C
cell junction,TCAF2C
cytoplasm,C11orf97
ciliary basal body,C11orf97
membrane,C2orf92
lysosomal proton-transporting V-type ATPase complex,SPAAR
lysosomal membrane,SPAAR
late endosome membrane,SPAAR
membrane,SMIM36
membrane,SMIM35
membrane,SMIM31
cis-Golgi network,A0A1B0GVY7
membrane,TMEM269
membrane,SMIM39
membrane,SMIM33
membrane,SERTM2
chromatin,HSFX3
nucleus,HSFX3
membrane,LASP1NB
T cell receptor complex,TRBV7-6
T cell receptor complex,TRBV6-4
T cell receptor complex,TRBV7-8
T cell receptor complex,TRDV1
