annotation,SYMBOL
protein-macromolecule adaptor activity,IRGM
protein-macromolecule adaptor activity,IRGM
protein serine/threonine kinase activator activity,IRGM
protein serine/threonine kinase activator activity,IRGM
CARD domain binding,IRGM
BH3 domain binding,IRGM
DNA binding,FAM170A
zinc ion binding,FAM170A
protein binding,KRTAP23-1
protein binding,KRTAP23-1
protein binding,KRTAP23-1
protein binding,KRTAP23-1
protein binding,KRTAP23-1
protein binding,KRTAP23-1
intracellularly calcium-gated chloride channel activity,ANO9
intracellularly calcium-gated chloride channel activity,ANO9
intracellularly calcium-gated chloride channel activity,ANO9
chloride channel activity,ANO9
calcium channel activity,ANO9
protein binding,ANO9
protein binding,ANO9
protein binding,ANO9
channel activity,ANO9
phospholipid scramblase activity,ANO9
chloride channel inhibitor activity,ANO9
protein dimerization activity,ANO9
protein binding,SLC22A23
protein binding,SLC22A23
protein binding,SLC22A23
protein binding,SLC22A23
protein binding,SLC22A23
protein binding,SLC22A23
protein binding,SLC22A23
protein binding,SLC22A23
protein binding,SLC22A23
protein binding,SLC22A23
protein binding,SLC22A23
protein binding,SLC22A23
protein binding,SLC22A23
protein binding,SLC22A23
protein binding,SLC22A23
protein binding,SLC22A23
transmembrane transporter activity,SLC22A23
protein binding,BICDL2
protein binding,BICDL2
protein binding,BICDL2
protein binding,BICDL2
protein binding,BICDL2
protein binding,BICDL2
protein binding,BICDL2
protein binding,BICDL2
protein binding,BICDL2
small GTPase binding,BICDL2
protein binding,ODAM
protein binding,ODAM
protein binding,ODAM
protein binding,ODAM
protein binding,ODAM
protein binding,ODAM
protein binding,ODAM
protein binding,ODAM
protein binding,ODAM
protein binding,ODAM
protein binding,ODAM
protein binding,ODAM
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
protein binding,FAM168B
endonuclease activity,PXDNL
peroxidase activity,PXDNL
heme binding,PXDNL
metal ion binding,PXDNL
RNA binding,MEX3A
RNA binding,MEX3A
zinc ion binding,MEX3A
magnesium ion binding,ILVBL
protein binding,ILVBL
lyase activity,ILVBL
thiamine pyrophosphate binding,ILVBL
protein binding,ERICH2
protein binding,ERICH2
protein binding,ERICH2
protein binding,ERICH2
protein binding,ERICH2
protein binding,ERICH2
protein binding,UBE2QL1
ATP binding,UBE2QL1
ubiquitin conjugating enzyme activity,UBE2QL1
protein binding,C20orf202
protein binding,C20orf202
protein binding,C20orf202
protein binding,C20orf202
protein binding,C20orf202
protein binding,C20orf202
protein binding,C20orf202
protein binding,C20orf202
protein binding,C1orf226
protein binding,C1orf226
protein binding,NDUFAF8
protein binding,NDUFAF8
protein binding,NDUFAF8
protein binding,NDUFAF8
protein binding,SYCE3
protein binding,SYCE3
protein binding,SYCE3
protein binding,SYCE3
protein binding,SYCE3
protein binding,SYCE3
protein binding,SYCE3
protein binding,SYCE3
protein binding,SYCE3
protein binding,SYCE3
protein binding,SYCE3
actin binding,PLEKHG3
guanyl-nucleotide exchange factor activity,PLEKHG3
protein binding,ELOVL7
protein binding,ELOVL7
protein binding,ELOVL7
protein binding,ELOVL7
protein binding,ELOVL7
protein binding,ELOVL7
protein binding,ELOVL7
protein binding,ELOVL7
protein binding,ELOVL7
protein binding,ELOVL7
protein binding,ELOVL7
protein binding,ELOVL7
protein binding,ELOVL7
fatty acid elongase activity,ELOVL7
fatty acid elongase activity,ELOVL7
protein binding,MT1DP
protein binding,MT1DP
protein binding,MT1DP
protein binding,GAGE12B
protein binding,GAGE12B
fibronectin binding,SSC5D
scavenger receptor activity,SSC5D
protein binding,SSC5D
protein binding,SSC5D
protein binding,SSC5D
protein binding,SSC5D
protein binding,SSC5D
protein binding,SSC5D
protein binding,SSC5D
protein binding,SSC5D
protein binding,SSC5D
protein binding,SSC5D
protein binding,SSC5D
protein binding,SSC5D
protein binding,SSC5D
protein binding,SSC5D
protein binding,SSC5D
protein binding,SSC5D
protein binding,SSC5D
protein binding,SSC5D
protein binding,SSC5D
protein binding,SSC5D
protein binding,SSC5D
protein binding,SSC5D
laminin binding,SSC5D
extracellular matrix binding,SSC5D
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,FSD2
protein binding,SH3PXD2B
protein binding,SH3PXD2B
phosphatidylinositol-5-phosphate binding,SH3PXD2B
phosphatidylinositol-3-phosphate binding,SH3PXD2B
SH2 domain binding,SH3PXD2B
protein binding,CIBAR1
protein binding,CIBAR1
protein binding,CIBAR1
protein binding,CIBAR1
protein binding,CIBAR1
protein binding,CIBAR1
protein binding,CIBAR1
phospholipid binding,CIBAR1
zinc ion binding,ZBTB7C
"hydrolase activity, acting on glycosyl bonds",MACROD2
deacetylase activity,MACROD2
O-acetyl-ADP-ribose deacetylase activity,MACROD2
protein binding,ZC3H12D
zinc ion binding,ZC3H12D
protein binding,SERTM1
protein binding,SERTM1
protein binding,SERTM1
protein binding,SERTM1
protein binding,SERTM1
protein binding,SERTM1
protein binding,SERTM1
protein binding,SERTM1
protein binding,SERTM1
protein binding,SERTM1
protein binding,SERTM1
protein binding,SERTM1
protein binding,SERTM1
protein binding,FRMD3
protein binding,FRMD3
protein binding,FRMD3
protein binding,FRMD3
protein binding,FRMD3
protein binding,FRMD3
protein binding,FRMD3
protein binding,FRMD3
protein binding,FRMD3
protein binding,FRMD3
protein binding,FRMD3
protein binding,FRMD3
cytoskeletal protein binding,FRMD3
protein binding,PTPDC1
protein binding,PTPDC1
protein binding,PTPDC1
protein binding,PTPDC1
protein binding,PTPDC1
zinc ion binding,DYTN
protein binding,CCDC78
nucleic acid binding,HFM1
ATP binding,HFM1
four-way junction helicase activity,HFM1
ATP hydrolysis activity,HFM1
double-stranded DNA helicase activity,HFM1
forked DNA-dependent helicase activity,HFM1
protein binding,ZNF320
protein binding,ZNF320
zinc ion binding,ZNF320
protein binding,WDR27
SNARE binding,NBAS
protein binding,NBAS
threonine-tRNA ligase activity,TARS3
protein binding,TARS3
protein binding,TARS3
protein binding,TARS3
protein binding,TARS3
protein binding,TARS3
protein binding,TARS3
protein binding,TARS3
protein binding,TARS3
protein binding,TARS3
protein binding,TARS3
protein binding,TARS3
protein binding,TARS3
protein binding,TARS3
ATP binding,TARS3
protein binding,HEATR9
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
protein binding,TMEM218
