annotation,SYMBOL
enteroendocrine cell differentiation,PERCC1
digestive tract morphogenesis,PERCC1
regulation of signal transduction,IGBP1C
G protein-coupled receptor signaling pathway,OR1R1P
biological_process,SMIM44
biological_process,C8orf90
detection of chemical stimulus involved in sensory perception of smell,OR5D3P
G protein-coupled receptor signaling pathway,OR5BS1
detection of chemical stimulus involved in sensory perception of smell,OR5BS1
G protein-coupled receptor signaling pathway,LOC112268384
intracellular signal transduction,LOC107987545
G protein-coupled receptor signaling pathway,OR51C1
detection of chemical stimulus involved in sensory perception of smell,OR51C1
negative regulation of transcription by RNA polymerase II,LINC-PINT
nucleosome assembly,TSPY9
spermatogenesis,TSPY9
gonadal mesoderm development,TSPY9
cell differentiation,TSPY9
signal transduction,A0A499FJF3
adaptive immune response,TRBV4-2
adaptive immune response,TRBV3-1
adaptive immune response,TRBV4-1
adaptive immune response,TRBV5-1
adaptive immune response,TRBV11-2
adaptive immune response,TRBV4-3
small GTPase-mediated signal transduction,ARHGEF18
neuron maturation,SMIM45
adaptive immune response,TRBV5-5
adaptive immune response,TRBV5-6
adaptive immune response,TRBV5-8
adaptive immune response,TRBV11-3
adaptive immune response,TRBV14
adaptive immune response,TRBV28
adaptive immune response,TRBV29-1
adaptive immune response,TRBC2
alpha-beta T cell activation,TRBC2
T cell receptor signaling pathway,TRBC2
actin filament organization,AQP5-AS1
regulation of epidermal growth factor receptor signaling pathway,AQP5-AS1
positive regulation of transcription by RNA polymerase II,LOC122539214
protein stabilization,HAPSTR2
cell adhesion,RPSA2
ADP biosynthetic process,AK4P3
ATP metabolic process,AK4P3
GTP metabolic process,AK4P3
nucleoside monophosphate phosphorylation,AK4P3
adaptive immune response,A0A8V8TLY5
translation,A0AAG2SUK6
adaptive immune response,A0AAG2SVT6
sodium ion transport,A0AAG2SWV4
neurotransmitter transport,A0AAG2SWV4
creatine transmembrane transport,A0AAG2SWV4
proline catabolic process,A0AAG2SXN7
adaptive immune response,A0AAG2SXZ4
cell adhesion,OTOA
translation,LOC102723573
adaptive immune response,A0AAG2TU05
adaptive immune response,hCG_2003024
Arp2/3 complex-mediated actin nucleation,A0AAG2TVC3
adaptive immune response,A0AAG2TVE0
cell adhesion,CNTNAP3C
defense response to bacterium,DEFB109D
DNA synthesis involved in DNA repair,A0AAQ5BHU3
DNA-templated DNA replication,A0AAQ5BHU3
RNA-templated DNA biosynthetic process,A0AAQ5BHU3
DNA integration,A0AAQ5BHU3
viral process,LOC124906262
"regulation of alternative mRNA splicing, via spliceosome",RBM47
hematopoietic progenitor cell differentiation,RBM47
mRNA processing,RBM47
RNA splicing,RBM47
cytidine to uridine editing,RBM47
cytidine to uridine editing,RBM47
positive regulation of interleukin-10 production,RBM47
positive regulation of type I interferon-mediated signaling pathway,RBM47
3'-UTR-mediated mRNA stabilization,RBM47
smoothened signaling pathway,IFT56
protein transport,IFT56
axoneme assembly,IFT56
intraciliary anterograde transport,IFT56
intraciliary transport,IFT56
cilium assembly,IFT56
cilium assembly,IFT56
cilium assembly,IFT56
protein localization to cilium,IFT56
protein polyubiquitination,TMEM129
ubiquitin-dependent protein catabolic process,TMEM129
response to unfolded protein,TMEM129
protein ubiquitination,TMEM129
"retrograde protein transport, ER to cytosol",TMEM129
ERAD pathway,TMEM129
negative regulation of transcription by RNA polymerase II,E2F8
negative regulation of transcription by RNA polymerase II,E2F8
placenta development,E2F8
sprouting angiogenesis,E2F8
negative regulation of cytokinesis,E2F8
positive regulation of DNA endoreduplication,E2F8
cell cycle comprising mitosis without cytokinesis,E2F8
positive regulation of transcription by RNA polymerase II,E2F8
fibroblast proliferation,E2F8
trophoblast giant cell differentiation,E2F8
chorionic trophoblast cell differentiation,E2F8
hepatocyte differentiation,E2F8
ubiquitin-dependent protein catabolic process,UBA6
learning,UBA6
locomotory behavior,UBA6
protein ubiquitination,UBA6
protein ubiquitination,UBA6
amygdala development,UBA6
hippocampus development,UBA6
dendritic spine development,UBA6
lipid transport,ESYT2
endocytosis,ESYT2
endoplasmic reticulum-plasma membrane tethering,ESYT2
lipid transport,ESYT3
endoplasmic reticulum-plasma membrane tethering,ESYT3
adaptive immune response,TRAV38-2DV8
adaptive immune response,TRDV2
innate immune response,TRDV2
adaptive immune response,TRDV3
innate immune response,TRDV3
positive regulation of transcription elongation by RNA polymerase II,MED19
RNA polymerase II preinitiation complex assembly,MED19
positive regulation of transcription initiation by RNA polymerase II,MED19
early endosome to Golgi transport,BLTP3B
adaptive immune response,IGLC7
B cell receptor signaling pathway,IGLC7
"substrate-dependent cell migration, cell extension",SHTN1
Ras protein signal transduction,SHTN1
axonogenesis,SHTN1
Cdc42 protein signal transduction,SHTN1
netrin-activated signaling pathway,SHTN1
positive regulation of axon extension,SHTN1
neuron projection morphogenesis,SHTN1
cytoplasmic actin-based contraction involved in cell motility,SHTN1
endoplasmic reticulum polarization,SHTN1
actin filament bundle retrograde transport,SHTN1
hexose transmembrane transport,SLC5A10
fructose transmembrane transport,SLC5A10
fructose transmembrane transport,SLC5A10
mannose transmembrane transport,SLC5A10
mannose transmembrane transport,SLC5A10
sodium ion transmembrane transport,SLC5A10
sodium ion transmembrane transport,SLC5A10
mitochondrial cytochrome c oxidase assembly,TMEM223
cell population proliferation,DAPL1
gene expression,DAPL1
cell differentiation,DAPL1
negative regulation of transcription by RNA polymerase II,FEZF1
axon guidance,FEZF1
negative regulation of cell population proliferation,FEZF1
olfactory bulb development,FEZF1
forebrain anterior/posterior pattern specification,FEZF1
cell dedifferentiation,FEZF1
positive regulation of neuron differentiation,FEZF1
positive regulation of DNA-templated transcription,FEZF1
regulation of neurogenesis,FEZF1
O-glycan processing,GXYLT2
fat cell differentiation,TMEM120B
protein heterooligomerization,TMEM120B
sensory perception of sound,CLRN2
auditory receptor cell stereocilium organization,CLRN2
signal transduction,ARHGAP10
regulation of small GTPase mediated signal transduction,ARHGAP10
single fertilization,CFAP119
gene expression,CFAP119
autophagosome assembly,IRGM
positive regulation of protein phosphorylation,IRGM
inflammatory response,IRGM
positive regulation of autophagy,IRGM
positive regulation of autophagy,IRGM
positive regulation of autophagy,IRGM
positive regulation of autophagy,IRGM
positive regulation of autophagy,IRGM
positive regulation of peptidyl-threonine phosphorylation,IRGM
protein destabilization,IRGM
negative regulation of type I interferon production,IRGM
negative regulation of type I interferon production,IRGM
negative regulation of type II interferon production,IRGM
positive regulation of peptidyl-serine phosphorylation,IRGM
defense response to bacterium,IRGM
defense response to bacterium,IRGM
defense response to bacterium,IRGM
defense response to bacterium,IRGM
defense response to bacterium,IRGM
defense response to bacterium,IRGM
defense response to bacterium,IRGM
positive regulation of macrophage activation,IRGM
negative regulation of canonical NF-kappaB signal transduction,IRGM
regulation of protein-containing complex assembly,IRGM
innate immune response,IRGM
negative regulation of defense response to virus,IRGM
negative regulation of defense response to virus,IRGM
negative regulation of inflammatory response,IRGM
protein stabilization,IRGM
defense response to Gram-negative bacterium,IRGM
positive regulation of type II interferon-mediated signaling pathway,IRGM
regulation of protein complex stability,IRGM
protein lipidation involved in autophagosome assembly,IRGM
CAMKK-AMPK signaling cascade,IRGM
protein-containing complex assembly,IRGM
nucleotide-binding oligomerization domain containing 2 signaling pathway,IRGM
protein targeting to vacuole involved in autophagy,IRGM
cellular response to lipopolysaccharide,IRGM
positive regulation of protein serine/threonine kinase activity,IRGM
transcription by RNA polymerase II,FAM170A
transcription by RNA polymerase II,FAM170A
positive regulation of DNA-templated transcription,FAM170A
positive regulation of DNA-templated transcription,FAM170A
lipid metabolic process,ANO9
sensory perception of smell,ANO9
monoatomic ion transmembrane transport,ANO9
establishment of localization in cell,ANO9
calcium activated phosphatidylserine scrambling,ANO9
calcium activated phosphatidylcholine scrambling,ANO9
calcium activated galactosylceramide scrambling,ANO9
calcium ion transmembrane transport,ANO9
monoatomic ion transport,SLC22A23
transmembrane transport,SLC22A23
positive regulation of protein phosphorylation,ODAM
inflammatory response,ODAM
positive regulation of gene expression,ODAM
biomineral tissue development,ODAM
regulation of actin cytoskeleton organization,ODAM
odontogenesis of dentin-containing tooth,ODAM
positive regulation of GTPase activity,ODAM
positive regulation of epithelial cell proliferation involved in wound healing,ODAM
response to oxidative stress,PXDNL
hydrogen peroxide catabolic process,PXDNL
fatty acid alpha-oxidation,ILVBL
mitochondrial respiratory chain complex I assembly,NDUFAF8
apoptotic process,SYCE3
synaptonemal complex assembly,SYCE3
reciprocal meiotic recombination,SYCE3
spermatogenesis,SYCE3
ectopic germ cell programmed cell death,SYCE3
positive regulation of apoptotic process,SYCE3
positive regulation of developmental process,SYCE3
cell division,SYCE3
osteoclast differentiation,IGSF23
regulation of cell migration,PLEKHG3
regulation of small GTPase mediated signal transduction,PLEKHG3
unsaturated fatty acid biosynthetic process,ELOVL7
"fatty acid elongation, saturated fatty acid",ELOVL7
"fatty acid elongation, polyunsaturated fatty acid",ELOVL7
long-chain fatty-acyl-CoA biosynthetic process,ELOVL7
very long-chain fatty acid biosynthetic process,ELOVL7
very long-chain fatty acid biosynthetic process,ELOVL7
vesicle-mediated transport,SSC5D
negative regulation of interleukin-8 production,SSC5D
detection of bacterial lipoprotein,SSC5D
innate immune response,SSC5D
defense response to Gram-negative bacterium,SSC5D
defense response to Gram-positive bacterium,SSC5D
skeletal system development,SH3PXD2B
eye development,SH3PXD2B
superoxide metabolic process,SH3PXD2B
heart development,SH3PXD2B
extracellular matrix disassembly,SH3PXD2B
cell differentiation,SH3PXD2B
bone development,SH3PXD2B
adipose tissue development,SH3PXD2B
podosome assembly,SH3PXD2B
protein localization to membrane,SH3PXD2B
inner mitochondrial membrane organization,CIBAR1
limb morphogenesis,CIBAR1
positive regulation of smoothened signaling pathway,CIBAR1
cilium assembly,CIBAR1
cilium assembly,CIBAR1
membrane organization,CIBAR1
negative regulation of cell population proliferation,ZBTB7C
positive regulation of fat cell differentiation,ZBTB7C
positive regulation of transcription by RNA polymerase II,ZBTB7C
DNA damage response,MACROD2
brain development,MACROD2
response to bacterium,MACROD2
purine nucleoside metabolic process,MACROD2
protein de-ADP-ribosylation,MACROD2
negative regulation of cell growth,ZC3H12D
negative regulation of cell growth,ZC3H12D
3'-UTR-mediated mRNA destabilization,ZC3H12D
skeletal muscle contraction,CCDC78
cell projection organization,CCDC78
adaptive immune response,IGKV2-29
nuclear-transcribed mRNA catabolic process,NBAS
"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum",NBAS
"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum",NBAS
protein transport,NBAS
threonyl-tRNA aminoacylation,TARS3
hematopoietic progenitor cell differentiation,HEATR9
protein localization,TESPA1
COP9 signalosome assembly,TESPA1
T cell differentiation in thymus,TESPA1
positive regulation of T cell differentiation in thymus,TESPA1
TCR signalosome assembly,TESPA1
positive regulation of T cell receptor signaling pathway,TESPA1
lysine catabolic process,HYKK
brain development,HMX2
cell differentiation,HMX2
inner ear morphogenesis,HMX2
"positive regulation of mRNA splicing, via spliceosome",HMX2
epithelial cell proliferation,HMX2
positive regulation of epithelial cell proliferation,HMX2
stem cell proliferation,HMX2
double-strand break repair,MEIOC
synaptonemal complex assembly,MEIOC
spermatid development,MEIOC
oocyte development,MEIOC
metaphase chromosome alignment,MEIOC
"germline cell cycle switching, mitotic to meiotic cell cycle",MEIOC
chromosome organization involved in meiotic cell cycle,MEIOC
establishment of mitotic spindle orientation,CCDC66
microtubule bundle formation,CCDC66
microtubule bundle formation,CCDC66
retina homeostasis,CCDC66
microtubule nucleation,CCDC66
mitotic spindle organization,CCDC66
mitotic metaphase chromosome alignment,CCDC66
regulation of cytokinesis,CCDC66
detection of light stimulus involved in visual perception,CCDC66
cell division,CCDC66
cilium assembly,CCDC66
cilium assembly,CCDC66
wybutosine biosynthetic process,TYW5
wybutosine biosynthetic process,TYW5
in utero embryonic development,MYBPHL
biological_process,MYBPHL
endosome to lysosome transport,DENND3
protein catabolic process,DENND3
digestion,CLPSL1
lipid catabolic process,CLPSL1
intracellular signal transduction,DCDC2B
fucose metabolic process,FUOM
fucose metabolic process,FUOM
Wnt signaling pathway,TMEM131L
negative regulation of immature T cell proliferation in thymus,TMEM131L
cell adhesion,SSPOP
G protein-coupled receptor signaling pathway,OR2M5
negative regulation of canonical NF-kappaB signal transduction,SBNO1
negative regulation of MAPK cascade,SBNO1
positive regulation of cell population proliferation,PRAMEF22
negative regulation of apoptotic process,PRAMEF22
negative regulation of cell differentiation,PRAMEF22
negative regulation of DNA-templated transcription,PRAMEF22
positive regulation of cell population proliferation,PRAMEF27
negative regulation of apoptotic process,PRAMEF27
negative regulation of cell differentiation,PRAMEF27
negative regulation of DNA-templated transcription,PRAMEF27
cell adhesion,LAMB4
innate immune response,SMIM30
negative regulation of type I interferon-mediated signaling pathway,SMIM30
axon guidance,CRPPA
isoprenoid biosynthetic process,CRPPA
protein O-linked mannosylation,CRPPA
protein O-linked mannosylation,CRPPA
regulation of proteolysis,GSAP
ribosome biogenesis,GTPBP10
signal transduction,LRRD1
ubiquitin-dependent protein catabolic process,WDR91
regulation of protein catabolic process,WDR91
early endosome to late endosome transport,WDR91
early endosome to late endosome transport,WDR91
negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,WDR91
proteolysis,PRSS37
binding of sperm to zona pellucida,PRSS37
germ cell migration,PRSS37
cell migration,PRSS37
protein maturation,PRSS37
regulation of protein processing,PRSS37
chromatin remodeling,CDC14C
chromatin remodeling,CDC14C
